address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
275 Greenwich St # 6DEF,New York,NY,10007,2600000,2342.0,4.0,6.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/275-Greenwich-St-6DEF-New-York-NY-10007/2091169669_zpid/
258 Broadway APT 2A,New York,NY,10007,2800000,NA,1.0,2.0,92,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/258-Broadway-APT-2A-New-York-NY-10007/31493439_zpid/
162 Chambers St,NEW YORK,NY,10007,14995000,10020.0,5.0,6.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/162-Chambers-St-New-York-NY-10007/31493465_zpid/
77 Warren St,NEW YORK,NY,10007,3295000,1550.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/77-Warren-St-New-York-NY-10007/125996664_zpid/
30 Park Pl # 78B,New York,NY,10007,29500000,5937.0,5.0,7.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Park-Pl-78B-New-York-NY-10007/219636874_zpid/
111 Murray St # 61WEST,New York,NY,10007,18900000,4014.0,5.0,11.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Murray-St-61WEST-New-York-NY-10007/2100673283_zpid/
75 Warren St,NEW YORK,NY,10007,15750000,10800.0,5.0,8.0,64,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/75-Warren-St-New-York-NY-10007/31493285_zpid/
2 Park Pl # 46A,New York,NY,10007,9000000,2425.0,2.0,3.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Park-Pl-46A-New-York-NY-10007/2090454336_zpid/
49-51 Warren St # 1EF,Manhattan,NY,10007,5450000,4400.0,3.0,3.0,45,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/49-51-Warren-St-1EF-Manhattan-NY-10007/2090429995_zpid/
30 Park Pl # 77B,New York,NY,10007,16450000,3173.0,3.0,5.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Park-Pl-77B-New-York-NY-10007/219636872_zpid/
111 Murray St # 37B,New York,NY,10007,5000000,1666.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Murray-St-37B-New-York-NY-10007/2097919990_zpid/
101 Warren St APT 1160M,NEW YORK,NY,10007,4095000,2070.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/101-Warren-St-APT-1160M-New-York-NY-10007/89330235_zpid/
12 Warren St # 6,New York,NY,10007,6995000,3752.0,3.0,4.0,268,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-Warren-St-6-New-York-NY-10007/2093094760_zpid/
49 Chambers St # 6AB,New York,NY,10007,6495000,3574.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/49-Chambers-St-6AB-New-York-NY-10007/2090966992_zpid/
