address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
171 Henry St # 2A,New York,NY,10002,931500,690.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/171-Henry-St-2A-New-York-NY-10002/2091834159_zpid/
50 Clinton St # 6C,New York,NY,10002,2450000,1142.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Clinton-St-6C-New-York-NY-10002/244895822_zpid/
50 Clinton St # 3D,New York,NY,10002,2295000,1175.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Clinton-St-3D-New-York-NY-10002/244779859_zpid/
215 Chrystie St # 28WEST,New York,NY,10002,7995000,1977.0,2.0,3.0,1222,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-Chrystie-St-28WEST-New-York-NY-10002/2103857940_zpid/
242 Broome St # 5B,New York,NY,10002,1600000,892.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/242-Broome-St-5B-New-York-NY-10002/2093770733_zpid/
50 Clinton St # 6E,New York,NY,10002,1995000,905.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Clinton-St-6E-New-York-NY-10002/244692424_zpid/
196 Orchard St # 10F,New York,NY,10002,2850000,1217.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-10F-New-York-NY-10002/2090283579_zpid/
133 Norfolk St # 1,New York,NY,10002,3395000,1700.0,2.0,2.0,542,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/133-Norfolk-St-1-New-York-NY-10002/2105644014_zpid/
215 Chrystie St # 28EAST,New York,NY,10002,7950000,2243.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-Chrystie-St-28EAST-New-York-NY-10002/2103857941_zpid/
568 Grand St APT J1805,New York,NY,10002,975000,800.0,1.0,1.0,237,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/568-Grand-St-APT-J1805-New-York-NY-10002/2098162673_zpid/
287 E Houston St # 3B,New York,NY,10002,1395000,750.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/287-E-Houston-St-3B-New-York-NY-10002/2097181666_zpid/
196 Orchard St # 5Q,New York,NY,10002,1400000,686.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-5Q-New-York-NY-10002/2090408342_zpid/
196 Orchard St # 5K,New York,NY,10002,1590000,753.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-5K-New-York-NY-10002/2090283581_zpid/
196 Orchard St # 4D,New York,NY,10002,2750000,1205.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-4D-New-York-NY-10002/2094625515_zpid/
242 Broome St # PHC,New York,NY,10002,6250000,2181.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/242-Broome-St-PHC-New-York-NY-10002/2094562440_zpid/
150 Rivington St # 6C,New York,NY,10002,1395000,682.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-Rivington-St-6C-New-York-NY-10002/2090855952_zpid/
196 Orchard St # 5A,New York,NY,10002,1550000,822.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-5A-New-York-NY-10002/2090287047_zpid/
568 Grand St APT J1805,New York,NY,10002,975000,NA,1.0,1.0,92,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/568-Grand-St-APT-J1805-New-York-NY-10002/244848334_zpid/
153 Bowery APT 3,NEW YORK,NY,10002,2650000,1358.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/153-Bowery-APT-3-New-York-NY-10002/65322137_zpid/
50 Clinton St # 1B,New York,NY,10002,2495000,1760.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Clinton-St-1B-New-York-NY-10002/244694223_zpid/
242 Broome St # 12A,New York,NY,10002,2840000,1353.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/242-Broome-St-12A-New-York-NY-10002/2090258863_zpid/
196 Orchard St # 9A,New York,NY,10002,2715000,1169.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-9A-New-York-NY-10002/2090283574_zpid/
